type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/codigoSIE,properties/ue1,properties/ue2,properties/ue3,properties/ue4,properties/ue5,properties/Nombre,properties/Direccion,properties/CodMacro,properties/CodDistrito,properties/Zona,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,educacionpublica.1,Point,-68.05663334,-16.55801277,geom,60730038,Chiaraque,,,,,CHIARAQUE,Camino Principal a Chiaraque (MUELA DEL DIABLO),6,20,,,20,,clara.revollo,2016-06-06T21:26:58.590Z,
Feature,educacionpublica.2,Point,-68.1250699,-16.51594774,geom,80730148,Nazario Pardo Valle,,,,,NAZARIO PARDO VALLE,C. Presbítero Medina,3,3,SOPOCACHI,,3,,clara.revollo,2016-06-08T20:07:09.593Z,
Feature,educacionpublica.3,Point,-68.12083417,-16.49675063,geom,80730128,Boliviano Noruego B,,,,,BOLIVIANO NORUEGO B,C. Panamá,1,2,MIRAFLORES,,2,,clara.revollo,2016-06-08T20:12:25.050Z,
Feature,educacionpublica.4,Point,-68.07457625,-16.58942516,geom,60730008,Jupapina,,,,,JUPAPINA,Av. Principal de Mallasa. C. 2,6,20,Mallasa,,20,,clara.revollo,2016-06-06T21:25:05.667Z,
Feature,educacionpublica.5,Point,-68.13979964,-16.52274171,geom,80730003,Raul Salmón de la Barra,,,,,RAUL SALMON DE LA BARRA,C. Loreto,3,4,LAS LOMAS,,4,,clara.revollo,2016-06-08T20:11:04.447Z,
Feature,educacionpublica.6,Point,-68.13550885,-16.53459396,geom,80730443,Jorge Vargas Bozo,,,,,JORGE VARGAS BOZO,Av. Mario Mercado,3,4,"Llojeta ""El Rosal""",,4,,clara.revollo,2016-06-08T20:10:06.100Z,
Feature,educacionpublica.7,Point,-68.12353617,-16.5277905,geom,80730426,Boliviano Japones,,,,,BOLIVIANO JAPONES,Av. Mario Mercado,3,4,bajo llojeta,,4,,clara.revollo,2016-06-08T20:12:38.550Z,
Feature,educacionpublica.8,Point,-68.0498447,-16.5582158,geom,60730039,Huacallani,,,,,HUACALLANI,Carretera principal de Huacallani,6,20,Comunidad Huacallani,,19,,clara.revollo,2016-06-06T21:27:46.080Z,
Feature,educacionpublica.9,Point,-68.14004604,-16.49222425,geom,80730137,Germán Busch A,Germán Busch B,Germán Busch C,,,GERMAN BUSH A,C. Chuquisaca,1,1,Centro,,1,,clara.revollo,2016-07-01T21:40:53.323Z,
Feature,educacionpublica.10,Point,-68.15144664,-16.48723032,geom,80730044,Corazón de Jesús Fé y Alegría,San Javier Fé y Alegría,,,,CORAZON DE JESUS FE Y ALEGRIA,C. 1,7,10,PURA PURA,,10,,clara.revollo,2016-07-01T21:35:57.840Z,
Feature,educacionpublica.11,Point,-68.0982145,-16.56634931,geom,80730163,Aldeas Infantiles,Herman Gmeiner,,,,ALDEAS INFANTILES,Av. Avaroa,6,20,MALLASA,,20,,clara.revollo,2016-06-06T21:26:31.917Z,
Feature,educacionpublica.12,Point,-68.08742208,-16.57045314,geom,70730057,Mallasa,,,,,MALLASA,C. 2 de Febrero,6,20,MALLASA,,20,,clara.revollo,2016-06-08T20:17:04.767Z,
Feature,educacionpublica.13,Point,-68.14602144,-16.4922654,geom,80730041,Fabril 18 de Mayo III - CEA,Fabril 18 de Mayo III,,,,CEA FABRIL 18 DE MAYO III,Av. República,7,10,PURA PURA,5,10,,clara.revollo,2016-06-08T20:18:16.173Z,
Feature,educacionpublica.14,Point,-68.11241947,-16.50927492,geom,80730088,Paz Nery Nava I,,,,,PAZ NERY NAVA I,C. 17 de Mayo,2,17,KUPINI,,17,,clara.revollo,2016-06-08T20:19:23.300Z,
Feature,educacionpublica.15,Point,-68.15004575,-16.49940096,geom,80730037,Pedro Smeters,,,,,PEDRO SMETSERS,C. Nueva York,7,7,LOS ANDES,,7,,clara.revollo,2016-06-08T20:22:01.580Z,
Feature,educacionpublica.16,Point,-68.10154543,-16.50026858,geom,80730354,San José,,,,,SAN JOSE III,C. Juan Pablo,2,16,BAJO SALOME,,16,,clara.revollo,2016-06-08T20:24:13.257Z,
Feature,educacionpublica.17,Point,-68.13619782,-16.53861131,geom,80730409,San Miguel de Alpacoma,,,,,SAN MIGUEL DE ALPACOMA,C. Pedro Domingo Murillo,3,4,ALPACOMA,,4,,clara.revollo,2016-06-08T20:25:22.057Z,
Feature,educacionpublica.18,Point,-68.07805214,-16.53822742,geom,80730422,Julio Cesar Patiño A,Julio Cesar Patiño D,,,,JULIO CESAR PATIOO A,C. Inofuentes Esq. C. 21,5,19,CALACOTO,,18,,clara.revollo,2016-06-08T20:26:39.007Z,
Feature,educacionpublica.19,Point,-68.10584329,-16.52719358,geom,80730111,Juan Herschel A,Juan Herschel B,Luxemburgo,,,JUAN HERSCHEL A,C. Hernando Siles,5,21,Obrajes,,21,,clara.revollo,2016-06-08T20:27:49.050Z,
Feature,educacionpublica.20,Point,-68.10505527,-16.52263993,geom,80730097,Jesús Divino Maestro A,Jesus Divino Maestro B,,,,JESUS DIVINO MAESTRO,C. Alfredo Guillén Pinto,5,21,Alto Obrajes,,21,,clara.revollo,2016-06-08T23:12:04.170Z,
Feature,educacionpublica.21,Point,-68.07013561,-16.53845442,geom,80730105,San Andrés A,San Andrés B,,,,SAN ANDRES A,C. 26 Gavino Villanueva,5,19,COTA COTA,,0,,clara.revollo,2016-06-08T19:33:30.777Z,
Feature,educacionpublica.22,Point,-67.68488064,-15.70623974,geom,70680072,Buenos Aires,,,,,BUENOS AIRES,Comunidad Buenos Aires,9,23,,,24,,gustavo.nao,2016-06-08T18:47:56.353Z,
Feature,educacionpublica.23,Point,-68.16438451,-16.48919467,geom,80730035,Copacabana Fé y Alegría,Santo Tomas Primaria,,,,COPACABANA FE Y ALEGRIA,Av. Juan Mendoza Gonzales,7,9,LA PORTADA,,9,,clara.revollo,2016-06-08T23:26:36.423Z,
Feature,educacionpublica.24,Point,-67.70599111,-15.72668961,geom,70680066,Eduardo Avaroa,,,,,EDUARDO AVAROA (YURUMANI),Comunidad Yurumani,9,23,ZONGO TROPICAL,,24,,gustavo.nao,2016-06-08T18:52:55.567Z,
Feature,educacionpublica.25,Point,-67.98565402,-16.04529642,geom,80730307,Huaji,,,,,HUAJI,Comunidad Huaji,9,23,,,23,,gustavo.nao,2016-06-08T20:24:47.677Z,
Feature,educacionpublica.26,Point,-68.08979307,-16.49976302,geom,80730415,Villa Callapa,,,,,VILLA CALLAPA,Campo Deportivo de Villa Callapa,2,17,CALLAPA,,17,,clara.revollo,2016-06-09T13:13:51.090Z,
Feature,educacionpublica.27,Point,-68.15828759,-16.46106426,geom,80730043,Lucio Velasco Flores,,,,,LUCIO VELASCO FLORES,Av. 3 y C. 6,7,10,San Francisco,,10,,clara.revollo,2016-06-09T13:15:24.747Z,
Feature,educacionpublica.28,Point,-68.00344825,-16.04670482,geom,80730308,Huaylipaya,,,,,HUALIPAYA,Comunidad Huaylipaya,9,23,,,23,,gustavo.nao,2016-06-08T20:22:57.737Z,
Feature,educacionpublica.29,Point,-67.67000936,-15.76834897,geom,80730312,Zongo Choro,,,,,ZONGO CHORO,Comunidad Monte Verde,9,23,,,24,,gustavo.nao,2016-06-08T16:19:10.080Z,
Feature,educacionpublica.30,Point,-68.15323175,-16.50711744,geom,80730027,Alfonso Pardo Uzueda,Sagrado Corazón de Jesús,,,,ALFONZO PARDO UZUEDA,C. Hermanos Artola,3,5,ALTO CHIJINI,,5,,carlos.medrano,2016-07-12T22:48:33.537Z,
Feature,educacionpublica.31,Point,-68.13965184,-16.19228838,geom,80730310,Llaullini,,,,,LLAULLINI,Comunidad Llaullini,9,23,,,23,,gustavo.nao,2016-06-08T20:39:05.167Z,No Funciona por Falta de Alumnos
Feature,educacionpublica.32,Point,-67.7066703,-15.6677784,geom,70680065,Kelequelera,,,,,KELEQUELERA,Comunidad Kelequelera,9,23,,,24,,gustavo.nao,2016-06-08T18:56:14.243Z,
Feature,educacionpublica.33,Point,-68.04424914,-16.09265377,geom,80730311,Villa Harca,,,,,VILLA ARCA,Comunidad Islani Bajo,9,23,,,23,,gustavo.nao,2016-06-08T20:34:36.210Z,
Feature,educacionpublica.34,Point,-68.01979415,-16.0626762,geom,80730616,Cahua Grande,,,,,CAHUA GRANDE,Comunidad Cahua,9,23,,,23,,gustavo.nao,2016-06-08T20:29:06.983Z,
Feature,educacionpublica.35,Point,-68.02570506,-16.067607,geom,80730309,Kahua,,,,,KAHUA,Comunidad Cahua,9,23,,,23,,clara.revollo,2016-07-01T19:48:45.043Z,
Feature,educacionpublica.36,Point,-68.10787362,-16.50129919,geom,80730093,Federico Jofre Salinas,Genoveva Rios,,,,FEDERICO JOFRRE SALINAS,Av. Josefa Mujía,2,15,SAN ANTONIO ALTO,,15,,clara.revollo,2016-06-09T13:18:38.487Z,
Feature,educacionpublica.37,Point,-68.14605562,-16.52533581,geom,80730416,Alto Pasankeri Sur,,,,,ALTO PASANKERI SUR,C. Aroma,3,4,ALTO PASANKERI,,4,,clara.revollo,2016-06-09T13:19:18.077Z,
Feature,educacionpublica.38,Point,-68.14814284,-16.48322898,geom,80730398,Aprecia La Paz,,,,,APRECIA LA PAZ,Av. Vasquez,7,10,PURA PURA,,10,,clara.revollo,2016-06-09T13:19:56Z,
Feature,educacionpublica.39,Point,-68.10076618,-16.49582337,geom,80730316,Armando Escobar Uría A,Armando Escobar Uría B,,,,ARMANDO ESCOBAR URIA A,C. 5,2,16,VILLA SALOME,,16,,clara.revollo,2016-06-09T13:23:25.537Z,
Feature,educacionpublica.40,Point,-68.14463703,-16.49663841,geom,80730022,Carlos Bravo,Eduardo Avaroa III,Victor muñoz Reyes,,,CARLOS BRAVO,Av. Buenos Aires,7,7,14 DE SEPTIEMBRE,,7,,clara.revollo,2016-06-09T13:26:06.560Z,
Feature,educacionpublica.41,Point,-68.16772666,-16.4863313,geom,80730040,Marien Garten A,Marien Garten C,,,,MARIEN GARTEN A,C. Bellavista,7,9,MUNAYPATA,,9,,clara.revollo,2016-06-09T13:53:59.797Z,
Feature,educacionpublica.42,Point,-68.15610751,-16.48732058,geom,80730039,25 de Mayo,,,,,25 DE MAYO,Av. Naciones Unidas,7,9,MUNAYPATA,,9,,clara.revollo,2016-06-09T13:56:26.050Z,
Feature,educacionpublica.43,Point,-68.11002989,-16.52703014,geom,80730639,Obrajes - CEA,,,,,CEA OBRAJES,C. 7 Antonio Diaz Villamil,5,21,OBRAJES,5,21,,clara.revollo,2016-06-22T22:27:48.227Z,
Feature,educacionpublica.44,Point,-68.16684415,-16.49563532,geom,80730429,Antofagasta Noruego I,Antofagasta Noruego II,,,,ANTOFAGASTA NORUEGO I,Av. Panorámica,7,9,PACAJES,,9,,clara.revollo,2016-06-09T13:59:08.567Z,
Feature,educacionpublica.45,Point,-68.15062307,-16.45782137,geom,80730023,Ciudadela Ferroviaria - CEA,Ferroviario,Gil Tapia Rada,,,CEA CIUDADELA FERROVIARIA,C. 1,7,10,Ciudadela Ferroviaria,5,10,,clara.revollo,2016-06-09T14:00:19.053Z,
Feature,educacionpublica.46,Point,-68.10876425,-16.51968291,geom,80730190,Gran Bretaña A,Gran Bretaña B,,,,GRAN BRETANA,Av. Integración,5,21,ALTO OBRAJES,,21,,clara.revollo,2016-06-09T14:01:58.953Z,
Feature,educacionpublica.47,Point,-68.09146153,-16.54595137,geom,80730110,Santa Rosa de Florida A,Santa Rosa de Florida B,,,,SANTA ROSA LA FLORIDA A,Av. Los Alamos,5,19,LA FLORIDA,,18,,clara.revollo,2016-06-09T14:06:25.907Z,
Feature,educacionpublica.48,Point,-68.11810469,-16.52668436,geom,80730431,Rosario,,,,,ROSARIO,Av. Los Sargentos,5,21,BAJO LLOJETA,,21,,clara.revollo,2016-06-09T14:07:10.807Z,
Feature,educacionpublica.49,Point,-68.14951363,-16.51283227,geom,80730491,Artemio Camargo,,,,,ARTEMIO CAMARGO,C. Kishuarani,3,5,ALTO TACAHUA,,5,,clara.revollo,2016-06-09T14:09:00.407Z,
Feature,educacionpublica.50,Point,-68.14316372,-16.511904,geom,80730424,Las Nieves,,,,,LAS NIEVES,Av. Landaeta,3,4,LAS NIEVES,,4,,clara.revollo,2016-06-09T14:09:58.083Z,
Feature,educacionpublica.51,Point,-68.14811928,-16.51135119,geom,80730339,Jaime Zenobio Escalante,,,,,JAIME ZENOBIO ESCALANTE,Av. Julio Tellez,3,5,ALTO TACAGUA,,5,,clara.revollo,2016-06-09T14:10:29.677Z,
Feature,educacionpublica.52,Point,-68.128075,-16.52718428,geom,80730004,San José I,,,,,SAN JOSE I,C. 16 Los Eucaliptos,3,4,BAJO LLOJETA,,4,,clara.revollo,2016-07-01T21:31:13.430Z,
Feature,educacionpublica.53,Point,-68.13114423,-16.50775558,geom,80730144,República Oriental del Uruguay,Uruguay,,,,REPUBLICA ORIENTAL DEL URUGUAY,C. Ecuador,3,3,SOPOCACHI,,3,,clara.revollo,2016-06-09T14:11:46.240Z,
Feature,educacionpublica.54,Point,-68.15981756,-16.49467551,geom,80730021,Club de Leones 1,Club de Leones 2,,,,CLUB DE LEONES 1,Av. Entre Ríos,7,9,ALTO TEJAR,,9,,clara.revollo,2016-06-09T14:13:11.407Z,
Feature,educacionpublica.55,Point,-68.16495168,-16.48780447,geom,80730034,Carola Itiguez,Estanislao Pascual,,,,CAROLA ITIGUEZ,Av. Aguirre,7,9,LA PORTADA,,9,,clara.revollo,2016-06-09T14:14:03.580Z,
Feature,educacionpublica.56,Point,-68.14950552,-16.50060492,geom,80730518,Ladislao Cabrera,Libertad I,,,,LADISLAO CABRERA,C. Fernando Marquina,7,7,OBISPO INDABURO,,7,,clara.revollo,2016-06-09T14:14:34.517Z,
Feature,educacionpublica.57,Point,-68.16162655,-16.45912715,geom,80730356,20 de Octubre I,,,,,20 DE OCTUBRE I,C. 27 de Noviembre,7,10,SAN FRANCISCO,,10,,clara.revollo,2016-06-09T14:15:13.117Z,
Feature,educacionpublica.58,Point,-68.12955782,-16.50779453,geom,80730326,Agustín Aspiazu,Bolivia II,Claudio Sanjinez,Luis Severo Crespo,,AGUSTIN ASPIAZU,Av. Aspizu Esq. Av. 20 de Octubre,3,3,SOPOCACHI,,3,,clara.revollo,2016-07-01T19:43:44.770Z,
Feature,educacionpublica.59,Point,-68.13075682,-16.51112144,geom,80730146,Bolivia III,Bolivia IV,,,,BOLIVIA III,C. Fernando Guachalla,3,3,SOPOCACHI,,3,,clara.revollo,2016-06-09T14:17:19.250Z,
Feature,educacionpublica.60,Point,-68.14672001,-16.51463398,geom,80730006,Alto Tembladerani,,,,,ALTO TEMBLADERANI,C. 5 de Agosto,3,5,SAN JUAN TEMBLADERANI,,5,,clara.revollo,2016-06-09T14:17:59.697Z,
Feature,educacionpublica.61,Point,-68.11600825,-16.49800975,geom,80730094,Gral. de San Martín Inicial,,,,,GRAL JOSE DE SAN MARTIN INICIAL,Pza. Luis Tapia,2,15,Bajo San Antonio,,15,,clara.revollo,2016-06-09T14:19:55.617Z,
Feature,educacionpublica.62,Point,-68.14183732,-16.53248484,geom,80730002,José Santos Vargas Turno Mañana,José Santos Vargas Turno Tarde,,,,JOSE SANTOS VARGAS TURNO MASANA,Av. Max Fernandez,3,4,ALTO LLOJETA,,4,,clara.revollo,2016-07-01T21:37:07.923Z,
Feature,educacionpublica.63,Point,-68.15321175,-16.51136211,geom,40730010,Faro Murillo,Jorge Cabrera Acusa,,,,FARO MURILLO,C. 9 de Abril,3,5,FARO MURILLO,,5,,clara.revollo,2016-06-09T14:22:11.820Z,
Feature,educacionpublica.64,Point,-68.14052935,-16.51228506,geom,80730013,Fátima - CEA,Humberto Vasquez Machicado,José Carrasco Torrico,Puerto Rico,,CEA FATIMA,Av. José Saravia,3,4,TEMBLADERANI,5,4,,clara.revollo,2016-06-09T15:10:54.040Z,
Feature,educacionpublica.65,Point,-68.13320265,-16.49378857,geom,80730116,Jardín de niños Sucre,Tokio,,,,JARDIN DE NIAOS SUCRE,Av. Sucre,1,1,CETRAL,,1,,clara.revollo,2016-06-09T15:13:19.413Z,
Feature,educacionpublica.66,Point,-68.14662028,-16.50398528,geom,80730017,Remberto Tapia,Franz Tamayo,,,,BRIG. MAY. REMBERTO TAPIA,C. Villamil de Rada,3,5,VILLA NUEVO POTOSI,,5,,nhuanquiri,2016-07-01T21:20:57.473Z,Brig. My. Remberto Tapia
Feature,educacionpublica.67,Point,-68.07806843,-16.53868655,geom,80730367,Guido Villagomez - CEA,Rene Barriento Ortu Mañana,Rene Barriento Ortu Tarde,,,CEA GUIDO VILLAGOMEZ,Av. José Ballivián,5,19,CALACOTO,5,18,,clara.revollo,2016-06-09T15:20:05.597Z,
Feature,educacionpublica.68,Point,-68.03635187,-16.53284109,geom,70730064,Jacha Uru,,,,,JACHA URU,C. 69 Psj. Galeo,5,19,OVEJUYO,,19,,clara.revollo,2016-06-06T21:29:21.647Z,
Feature,educacionpublica.69,Point,-68.16682974,-16.48817706,geom,80730046,Manuel Bernal Mariaca,,,,,MANUEL BERNAL MARIACA,Av. Kollasuyo.,7,9,LA PORTADA,,9,,clara.revollo,2016-06-09T15:21:56.167Z,
Feature,educacionpublica.70,Point,-68.15356651,-16.49401885,geom,80730025,Faustino Suarez,Max Toledo,Mercedes Fiengo Ayala,,,FAUSTINO SUAREZ,Av. Kollasuyo,7,8,EL TEJAR,,8,,clara.revollo,2016-06-09T15:26:10.950Z,
Feature,educacionpublica.71,Point,-68.14976657,-16.49957389,geom,80730036,Estado de Israel,Gral. José Manuel Pando,Niceforo Rojas,,,ESTADO DE ISRAEL,C. Issac Soria,7,7,LOS ANDES,,7,,clara.revollo,2016-06-09T15:29:11.820Z,
Feature,educacionpublica.72,Point,-68.08430868,-16.51586981,geom,80730484,Victor Paz Estensoro,,,,,VICTOR PAZ EXTENSORO,Av. Circunvalación,5,18,ALTO IRPAVI,,18,,clara.revollo,2016-06-09T15:30:41.310Z,
