type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Zona,properties/Tipo,properties/IdTipo,properties/Macrodistrito,properties/CodDistrito,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones,geometry
Feature,modulospoliciales.66,Point,-68.09224541,-16.54135357,geom,Transito Zona Sur,"Av. Jose Ballivián, C. 8 - Ignacio Cordero",Calacoto,OTRO,3,SUR,19,18,,julio.espinoza,2018-05-07T22:16:52.940Z,"No funciona como Módulo Policial, ya que atiende casos relacionado a problemas con tránsito.",
Feature,modulospoliciales.67,Point,-68.08335197,-16.57282911,geom,Mallasa Zoologico,Av. Tricentenario (Frente al Parque Zoológico Municipal),Mallasa,MODULO POLICIAL,2,MALLASA,20,20,,carlos.medrano,2016-06-11T21:58:45.350Z,,
Feature,modulospoliciales.68,Point,-68.09221157,-16.56708711,geom,Mallasa Litoral,"Av. Litoral, C. Las Tunas",MALLASA,MODULO POLICIAL,2,MALLASA,20,20,,carlos.medrano,2016-06-11T21:59:30.697Z,,
Feature,modulospoliciales.71,Point,-68.09927351,-16.56443544,geom,Mallasilla,"C. ""A"", Av. Valle de la Luna",MALLASILLA,MODULO POLICIAL,2,MALLASA,20,20,,carlos.medrano,2016-06-11T21:59:40.247Z,,
Feature,modulospoliciales.72,Point,-68.12858402,-16.5040766,geom,Cancha Zapata,"Av. del Ejercito, C. Federico Suazo",Santa Barbara,MODULO POLICIAL,2,CENTRO,1,1,,carlos.medrano,2016-06-11T21:59:48.457Z,,
Feature,modulospoliciales.74,Point,-68.12133506,-16.50449084,geom,San Martin,"Av. Bautista Saavedra, Esq. C. Litoral",Miraflores Bajo,MODULO POLICIAL,2,CENTRO,2,2,,carlos.medrano,2016-06-11T21:59:57.983Z,,
Feature,modulospoliciales.75,Point,-68.12135213,-16.51492574,geom,San Jorge,"C. Prolongación Clavijo, C. Campos",SAN JORGE,MODULO POLICIAL,2,CENTRO,1,1,,carlos.medrano,2016-06-11T22:00:04.140Z,,
Feature,modulospoliciales.76,Point,-68.13054412,-16.49862465,geom,Santa Bárbara,"C. Jose Castro, C. Obispo Cardenas",Santa Barbara,MODULO POLICIAL,2,CENTRO,1,1,,carlos.medrano,2016-06-11T22:00:12.273Z,,
Feature,modulospoliciales.77,Point,-68.13613393,-16.49378377,geom,Pichincha,"C. Pichincha, C. Ingavi",Central,MODULO POLICIAL,2,CENTRO,1,1,,carlos.medrano,2016-06-11T22:00:22.107Z,,
Feature,modulospoliciales.78,Point,-68.14437545,-16.48910899,geom,Trebol,"Av. Manko Kapac, Av. Ismael Vasquez",San Sebastián,MODULO POLICIAL,2,CENTRO,1,1,,carlos.medrano,2016-06-11T22:00:28.923Z,,
Feature,modulospoliciales.79,Point,-68.13778435,-16.49463649,geom,Mercado Lanza,"C. Figueroa, C. Santa Cruz de la Sierra",El Rosario,MODULO POLICIAL,2,CENTRO,1,1,,julio.espinoza,2018-05-07T15:37:50.837Z,,
Feature,modulospoliciales.81,Point,-68.11680317,-16.50122507,geom,Santa Fé de Miraflores - Guindales,"C. Diaz Romero, C. Julio Mariaca Pando",Miraflores,MODULO POLICIAL,2,CENTRO,2,2,,carlos.medrano,2016-06-11T22:01:04.700Z,,
Feature,modulospoliciales.82,Point,-68.12060027,-16.51086371,geom,Avenida del Poeta,"Av. del Poeta, Av. Copacabana",Miraflores Bajo,MODULO POLICIAL,2,CENTRO,2,2,,carlos.medrano,2016-06-11T22:01:18.410Z,,
Feature,modulospoliciales.83,Point,-68.13988252,-16.49463245,geom,Juancito Pinto,"C. Melchor Jimenez, C. Mariano Graneros",El Rosario,MODULO POLICIAL,2,CENTRO,1,1,,carlos.medrano,2016-06-11T22:01:32.520Z,,
Feature,modulospoliciales.85,Point,-68.16007463,-16.49585156,geom,Mariano Colodro,"C. Rio Abuna, C. Mariano Colodro",Mariscal Santa Cruz,MODULO POLICIAL,2,MAX PAREDES,9,9,,carlos.medrano,2016-06-11T22:01:43.923Z,,
Feature,modulospoliciales.86,Point,-68.15814884,-16.50027919,geom,Segundo Bascones,"Av. Segundo Bascones, Psje. Reino de Bélgica",Alto Tejar,MODULO POLICIAL,2,MAX PAREDES,8,8,,carlos.medrano,2016-06-11T22:02:37.773Z,,
Feature,modulospoliciales.87,Point,-68.10192717,-16.50134365,geom,Bajo Pampahasi,"C. ""7"", C. ""9"" y C. ""11""",Pampahasi Bajo,MODULO POLICIAL,2,SAN ANTONIO,16,16,,carlos.medrano,2016-06-11T22:02:23.047Z,,
Feature,modulospoliciales.88,Point,-68.10925521,-16.49188045,geom,Armando Escobar Uría,"C. René Barrientos Ortuño, Esq. C. 9",Escobar Uría,MODULO POLICIAL,2,SAN ANTONIO,15,15,,carlos.medrano,2016-06-11T22:02:48.270Z,,
Feature,modulospoliciales.89,Point,-68.14016077,-16.51612098,geom,Estación Policial Integral Cotahuma,"C. Huallparimachi, C. 12 de Octubre y C. Caupolicán",Tembladerani,EPI,1,COTAHUMA,4,4,,carlos.medrano,2016-06-11T22:03:12.627Z,Estación Policial Integral,
Feature,modulospoliciales.90,Point,-68.1351988,-16.50111219,geom,Estación Policial Integral San Pedro,"C. Almirante Grau, C. Murillo y C. Costa de La Torre",San Pedro,EPI,1,COTAHUMA,6,6,,carlos.medrano,2016-06-11T22:03:28.577Z,Estación Policial Integral,
Feature,modulospoliciales.91,Point,-68.1571469,-16.48540056,geom,Estación Policial Integral Mumaypata,"Av. Naciones Unidas, C. Tocopilla",Munaypata,EPI,1,MAX PAREDES,9,9,,carlos.medrano,2016-06-11T22:04:52.647Z,Estación Policial Integral,
Feature,modulospoliciales.92,Point,-68.1661792,-16.48988374,geom,Estación Policial Integral La Portada,Av. Florida (Lado Parque La Portada),portada,EPI,1,MAX PAREDES,9,9,,julio.espinoza,2018-05-10T14:11:43.907Z,Estación Policial Integral,
Feature,modulospoliciales.93,Point,-68.1561581,-16.47918793,geom,Estación Policial Integral Bosquecillo,Av. Naciones Unidas (Lado Parque Ecológico de Recreación Deportivo Pura Pura),Pura Pura,EPI,1,MAX PAREDES,10,10,,carlos.medrano,2016-06-11T22:24:00.637Z,Estación Policial Integral,
Feature,modulospoliciales.94,Point,-68.1276484,-16.47830702,geom,Estación Policial Integral Ferroviario,"Av. Juan Jose Torrez Gonzales, C. Adriana Pariente y C. Pokeni",Ferroviario,EPI,1,PERIFERICA,11,12,,carlos.medrano,2016-06-11T22:24:50.270Z,Estación Policial Integral,
Feature,modulospoliciales.95,Point,-68.11807414,-16.46969126,geom,Estación Policial Integral La Merced,"C. Palos Blancos, C. Pariguaya y C. Diego de Peralta",La Merced,EPI,1,PERIFERICA,13,13,,carlos.medrano,2016-06-11T22:25:05.517Z,Estación Policial Integral,
Feature,modulospoliciales.96,Point,-68.10741158,-16.50267525,geom,Estación Policial Integral San Antonio,"Av. Josefa Mujía, Psje. Vehicular Josefa Mujía",San Antonio,EPI,1,SAN ANTONIO,15,15,,carlos.medrano,2016-06-11T22:25:28.947Z,Estación Policial Integral,
Feature,modulospoliciales.97,Point,-68.0472736,-16.53864327,geom,Estación Policial Integral Chasquipampa,"C. General David Toro Ruilova, C. 19 - Tte. de Reserva Fidel Salas",Chasquipampa,EPI,1,SUR,19,19,,carlos.medrano,2016-06-11T22:25:41.457Z,Estación Policial Integral,
Feature,modulospoliciales.98,Point,-68.09338361,-16.54259165,geom,Estación Policial Integral SUR,"Av. Roma, Av. Costanera",Calacoto,EPI,1,SUR,21,21,,carlos.medrano,2016-06-11T22:25:57.650Z,Estación Policial Integral,
Feature,modulospoliciales.99,Point,-68.12868172,-16.4960798,geom,Estación de Bomberos Antofagasta,"C. Sucre, Esq. C. Uchumayu",Santa Barbara,BOMBEROS,4,,,1,viviana.iturry,carlos.medrano,2016-06-11T22:31:20.430Z,ESTACIÓN DE BOMBEROS ANTOFAGASTA,
Feature,modulospoliciales.100,Point,-68.13501476,-16.50142102,geom,"Centro de Comando, Control, Comunicación, Monitoreo y Despacho Automático","C. Colombia, C. Murillo y C. Costa de La Torre",San Pedro,OTRO,3,,,6,viviana.iturry,carlos.medrano,2016-06-11T22:32:40.890Z,CENTRO DE MONITOREO,
Feature,modulospoliciales.101,Point,-68.12279477,-16.48360269,geom,Tejada Sorzano,"Av. Tejada Sorzano, C. Emilio Lara",Miraflores,MODULO POLICIAL,2,,,2,viviana.iturry,carlos.medrano,2016-06-11T22:28:03.920Z,,
Feature,modulospoliciales.102,Point,-68.12472758,-16.51514053,geom,Kantutani,"C. Romecin Campos, C. Luis Peredo Gamarra",Sopocachi,MODULO POLICIAL,2,,,3,viviana.iturry,carlos.medrano,2016-06-11T22:28:30.933Z,,
Feature,modulospoliciales.103,Point,-68.12769095,-16.50729291,geom,6 de Agosto,"Av. 6 de Agosto, C. Fernando Guachalla",Sopocachi,MODULO POLICIAL,2,,,3,viviana.iturry,carlos.medrano,2016-06-11T22:28:39.843Z,,
Feature,modulospoliciales.104,Point,-68.13791213,-16.50946356,geom,Bello Horizonte,"C. Canonigo Ayllon, Psje. Canonigo Ayllon",San Pedro,MODULO POLICIAL,2,,,6,viviana.iturry,carlos.medrano,2016-06-11T22:28:51.150Z,,
Feature,modulospoliciales.105,Point,-68.12335056,-16.52735096,geom,Bajo Llojeta,"Av. Mario Mercado, C. ""5"" y C. 9 - Las Retamas",Bajo Llojeta,MODULO POLICIAL,2,,,4,viviana.iturry,carlos.medrano,2016-06-11T22:29:17.463Z,,
Feature,modulospoliciales.106,Point,-68.14314653,-16.50548067,geom,Villamontes,"Av. Villamontes, Av. Buenos Aires",Alto San Pedro,MODULO POLICIAL,2,,,6,viviana.iturry,carlos.medrano,2016-06-11T22:29:25.220Z,,
Feature,modulospoliciales.107,Point,-68.1401968,-16.50717634,geom,Alto Olimpic,"C. Nicolas Acosta, C. Jose Palma",Alto San Pedro,MODULO POLICIAL,2,,,6,viviana.iturry,carlos.medrano,2016-06-11T22:29:33.610Z,,
Feature,modulospoliciales.108,Point,-68.14444738,-16.50342972,geom,Mercado Hinojosa,"Av. Buenos Aires, Esq. Luciano Alcoreza",Gran Poder,MODULO POLICIAL,2,,,5,viviana.iturry,carlos.medrano,2016-06-11T22:29:46.843Z,,
Feature,modulospoliciales.109,,,,geom,,,,MODULO POLICIAL,2,,,10,viviana.iturry,julio.espinoza,2018-05-07T18:36:44.020Z,el modulo se demolió,
Feature,modulospoliciales.110,Point,-68.16168838,-16.50105679,geom,Huacataqui,"C. Heroinas de las Cornilla, Esq. C. Germán Monroy Black",Huacataqui,MODULO POLICIAL,2,,,9,viviana.iturry,carlos.medrano,2016-06-11T22:30:13.037Z,,
Feature,modulospoliciales.111,Point,-68.15336073,-16.50481634,geom,Sagrado Corazón de Jesús,"Av. 9 de Abril, C. Hermanos Artola",Chamoco Chico,MODULO POLICIAL,2,,,7,viviana.iturry,carlos.medrano,2016-06-11T22:30:39.240Z,,
Feature,modulospoliciales.112,Point,-68.1646973,-16.48426874,geom,Cusicancha,"C. Copacabana, Esq. C. Linares",Cusicancha,MODULO POLICIAL,2,,,9,viviana.iturry,julio.espinoza,2018-05-07T15:34:01.413Z,,
Feature,modulospoliciales.113,Point,-68.14893221,-16.45198575,geom,Caja Ferroviaria,"Av. Primavera, C. Amapola y C. Nardo III",San Martin - Caja Ferroviaria,MODULO POLICIAL,2,,,10,viviana.iturry,carlos.medrano,2016-06-11T22:33:11.860Z,,
Feature,modulospoliciales.114,Point,-68.1350548,-16.48963145,geom,Caja de Agua,"C. Humahuaca, C. Batalla de Iruya (Parque Iruya)",Norte - Caja de Agua,MODULO POLICIAL,2,,,11,viviana.iturry,carlos.medrano,2016-06-11T22:33:18.473Z,,
Feature,modulospoliciales.115,Point,-68.09534719,-16.45304126,geom,Kalajahuira,"Av. Ramiro Castillo, C. Pilcomayo y C. J.J. Torres",Kalajahuira,MODULO POLICIAL,2,,,13,viviana.iturry,carlos.medrano,2016-06-11T22:33:29.150Z,,
Feature,modulospoliciales.116,Point,-68.11714244,-16.48413076,geom,Luis Uria de la Oliva,"C. Prolongación Vicente Burgaleta, Esq. Av. Vicente Burgaleta",Villa Copacabana,MODULO POLICIAL,2,,,14,viviana.iturry,carlos.medrano,2016-06-11T22:33:43.967Z,,
Feature,modulospoliciales.117,Point,-68.10947233,-16.51261812,geom,Barrio Minero,"C. General Juan Jose Torrez, C. Juan Lechin",San Isidro,MODULO POLICIAL,2,,,17,viviana.iturry,carlos.medrano,2016-06-11T22:33:54.360Z,,
Feature,modulospoliciales.118,Point,-68.11439505,-16.51146776,geom,Cuarto Centenario,"C. Roberto Orihuela, Av. Costanera",Cuarto Centenario,MODULO POLICIAL,2,,,17,viviana.iturry,carlos.medrano,2016-06-11T22:34:02.550Z,,
Feature,modulospoliciales.119,Point,-68.11723636,-16.52576231,geom,Illimani,"C. ""5"", Av. Los Sargentos",Rosario,MODULO POLICIAL,2,,,21,viviana.iturry,julio.espinoza,2018-05-07T15:29:19.930Z,,
Feature,modulospoliciales.120,Point,-68.05235021,-16.09745682,geom,Zongo,Comunidad Camsique,Camsique,MODULO POLICIAL,2,,,23,viviana.iturry,carlos.medrano,2016-06-11T22:34:16.467Z,,
Feature,modulospoliciales.121,Point,-68.10345374,-16.52419152,geom,Unidad de Adiestramiento de Canes,Av. Max Portugal Zamora (Lado Mdo. Corazón de Jesús),Alto Obrajes,OTRO,3,,,21,viviana.iturry,carlos.medrano,2016-06-11T22:34:29.103Z,Unidad de Adiestramiento de Canes,
Feature,modulospoliciales.126,Point,-68.07145531,-16.54270114,geom,Estación de Bomberos Zona Sur,"C. 25 - Arturo Sanjinez, C. Fernando Inchauste (Lado Hospital Municipal 2do Nivel Los Pinos)",San Miguel,BOMBEROS,4,,,19,viviana.iturry,carlos.medrano,2016-06-11T22:34:45.923Z,ESTACIÓN DE BOMBEROS ZONA SUR,
Feature,modulospoliciales.127,Point,-68.08789549,-16.52676751,geom,Irpavi,C. Alfredo Ovando Candia y  C. Gaspar Jurado,Irpavi,MODULO POLICIAL,2,,,18,julio.espinoza,julio.espinoza,2018-05-07T18:35:50.073Z,,
Feature,modulospoliciales.128,Point,-68.05242977,-16.54392818,geom,Rosales,Av. Circunvalacion,Los Rosales,MODULO POLICIAL,2,,,19,julio.espinoza,julio.espinoza,2018-05-07T15:44:33.687Z,,
Feature,modulospoliciales.129,Point,-68.13864797,-16.52421744,geom,Las Lomas,"Av. Buenos Aires y C. ""C""",Las Lomas,MODULO POLICIAL,2,,,4,julio.espinoza,julio.espinoza,2018-05-07T15:44:43.287Z,,
