id,nombre_lugar,id_distrito,fecha,geom,point_x,point_y,uv,nombre
103,ROTONDA 2DO ANILLO AV. BENI,11,2020-04-21,010100000005C58F31355C1D410C022BA7E0A65E41,-63.1788952792,-17.7704412492,1,Distrito Urbano 11
104,ROTONDA 2DO ANILLO CRISTO REDENTOR,1,2020-04-21,010100000032772D6136561D41560E2DAADFA65E41,-63.1825151843,-17.7704736411,36,Distrito Urbano 1
105,ROTONDA 2DO ANILLO CENTENARIO,1,2020-04-21,0101000000BA490CC2A2431D4185EB5190EAA55E41,-63.1937408935,-17.7793245444,32,Distrito Urbano 1
106,ROTONDA 2DO ANILLO AV. BRASIL,3,2020-04-21,0101000000CE88D25E69741D41A4703D120BA55E41,-63.1642970636,-17.7874318826,23,Distrito Urbano 3
107,ROTONDA 2DO ANILLO AV. LA BARRANCA,4,2020-04-21,010100000090BD9C9905621D411A5DB673E4A35E41,-63.1754118283,-17.7980742540,7,Distrito Urbano 4
108,MELCHOR PINTO PARADA,11,2020-04-21,0101000000E09C11A552671D4108AC1CCA85A55E41,-63.1721962723,-17.7829881886,CIII,Distrito Urbano 11
109,AV. LAS AMERICAS,11,2020-04-21,0101000000925CFE03295E1D4104560E7590A45E41,-63.1777376157,-17.7918532750,7,Distrito Urbano 11
110,PLAZA ESPA?A / AV. ARGENTINA,11,2020-04-21,0101000000E0CBC9CB00651D41E7298320A3A45E41,-63.1736048844,-17.7911819756,CIII,Distrito Urbano 11
111,AV. EJERCITO /AV. IRALA,11,2020-04-21,0101000000C9034FD60F4F1D415F7F9F646BA45E41,-63.1868561433,-17.7931848446,CIV,Distrito Urbano 11
112,AV. LANDIVAR,11,2020-04-21,0101000000ABCFD596A94B1D415839B4B05DA55E41,-63.1888996769,-17.7844225841,11,Distrito Urbano 11
113,AV. BRASIL/ AV. VIEDMA,11,2020-04-21,010100000045D8F074E2671D411283C00A3FA55E41,-63.1718595130,-17.7855463762,CIII,Distrito Urbano 11
114,CALLE PARI/ ISABEL LA CATOLICA,11,2020-04-21,0101000000224098B7904D1D41AA509B15EBA45E41,-63.1877550231,-17.7885672814,CIV,Distrito Urbano 11
115,MERCADO MOVILES,1,2020-04-21,01010000002082BDC992471D4199C77280C1A75E41,-63.1913452172,-17.7623000215,ET21,Distrito Urbano 1
116,MERCADO MOVILES,1,2020-04-21,01010000004007A99B354E1D411A5DB653E8A75E41,-63.1873372611,-17.7609001551,ET22,Distrito Urbano 1
117,MERCADO MOVILES,1,2020-04-21,0101000000C046DE79CB551D41470F545304A85E41,-63.1827565687,-17.7598921851,ET23,Distrito Urbano 1
118,MERCADO MOVILES,2,2020-04-21,010100000020D6A06F04631D41A1738F720EA85E41,-63.1747732301,-17.7595335010,15,Distrito Urbano 2
119,MERCADO MOVILES,2,2020-04-21,01010000005009D422CD831D41493ADB9939A65E41,-63.1549947795,-17.7765014267,20,Distrito Urbano 2
120,MERCADO MOVILES,2,2020-04-21,01010000007063385E63901D41F55635AEDFA55E41,-63.1473975221,-17.7797583920,42,Distrito Urbano 2
121,MERCADO MOVILES,6,2020-04-21,0101000000F0F87BE96B8F1D41470F54F339A55E41,-63.1479861135,-17.7857499604,Nueva Feria-Barrio Lindo,Distrito Urbano 6
122,MERCADO MOVILES,3,2020-04-21,0101000000202CAF1C0D8F1D41470F5493DCA45E41,-63.1482125040,-17.7891257854,140,Distrito Urbano 3
123,MERCADO MOVILES,3,2020-04-21,010100000000A7C3CA71891D41B3F64FAD6DA35E41,-63.1516092708,-17.8023884775,44,Distrito Urbano 3
124,MERCADO MOVILES,3,2020-04-21,010100000070B9460B7F7F1D41979CEB61B8A25E41,-63.1576226248,-17.8089384580,92,Distrito Urbano 3
125,MERCADO MOVILES,3,2020-04-21,01010000001053E024BE7B1D41CE252DB28DA25E41,-63.1598907771,-17.8104799536,45,Distrito Urbano 3
126,MERCADO MOVILES,3,2020-04-21,0101000000A06BE47A4F851D41A7F4242E0CA35E41,-63.1541087802,-17.8059115369,45,Distrito Urbano 3
127,MERCADO MOVILES,9,2020-04-21,0101000000D09E172E43681D414D90E9768BA15E41,-63.1716641294,-17.8198063619,47,Distrito Urbano 9
128,MERCADO MOVILES,9,2020-04-21,0101000000403005AB805F1D41CCFAA5434CA15E41,-63.1769568192,-17.8220866523,48,Distrito Urbano 9
129,MERCADO MOVILES,9,2020-04-21,0101000000C0C548B65B531D41F55635363AA15E41,-63.1842920920,-17.8227325626,Villa Olimpica,Distrito Urbano 9
130,MERCADO MOVILES,10,2020-04-21,010100000040DC2105363C1D4145E4CC5C9BA15E41,-63.1982680527,-17.8192063941,50,Distrito Urbano 10
131,MERCADO MOVILES,10,2020-04-21,010100000010D4756866321D41886F39EC01A25E41,-63.2041890860,-17.8154922279,109,Distrito Urbano 10
132,MERCADO MOVILES,10,2020-04-21,0101000000E0F650E23D241D41E9540A2710A35E41,-63.2127280959,-17.8057129510,111,Distrito Urbano 10
133,MERCADO MOVILES,10,2020-04-21,0101000000600BFF29C3201D417C6D0E5589A35E41,-63.2148240298,-17.8013293968,111,Distrito Urbano 10
134,MERCADO MOVILES,1,2020-04-21,010100000050DE4C8CB31D1D41EDAA18FC90A45E41,-63.2166610061,-17.7917949881,113,Distrito Urbano 1
135,MERCADO MOVILES,1,2020-04-21,010100000000A7C3CA451E1D419BF2F98613A65E41,-63.2162992268,-17.7778198878,55A,Distrito Urbano 1
137,MERCADO MOVILES,1,2020-04-21,01010000008090EAFB3C461D411EB3C460DDA85E41,-63.1921403715,-17.7520356150,59A,Distrito Urbano 1
138,MERCADO MOVILES,1,2020-04-21,0101000000408613D8214F1D41D27B3B5F07A95E41,-63.1867693593,-17.7505224970,PSU5,Distrito Urbano 1
139,MERCADO MOVILES,1,2020-04-21,0101000000B06F3A8925591D410B30045E1EA95E41,-63.1807227107,-17.7496967609,63,Distrito Urbano 1
140,MERCADO MOVILES,1,2020-04-21,0101000000D04809012F621D41EB7F910517A95E41,-63.1752672678,-17.7499672909,62,Distrito Urbano 1
141,MERCADO MOVILES,2,2020-04-21,0101000000E0A042B5F3741D41E5FEFB69E5A85E41,-63.1639382568,-17.7517706735,38,Distrito Urbano 2
142,MERCADO MOVILES,2,2020-04-21,0101000000803C0756C87F1D4118322FA591A85E41,-63.1574023147,-17.7548047176,39,Distrito Urbano 2
143,MERCADO MOVILES,2,2020-04-21,0101000000E075BB9E318E1D41911B563E72A75E41,-63.1487104435,-17.7652026125,40,Distrito Urbano 2
144,MERCADO MOVILES,2,2020-04-21,0101000000B06D0F82E1901D41470F543352A65E41,-63.1470966165,-17.7756181150,42,Distrito Urbano 2
145,MERCADO MOVILES,7,2020-04-21,01010000007038B147E29D1D41E9540AA7A0A45E41,-63.1392575904,-17.7912988915,81,Distrito Urbano 7
146,MERCADO MOVILES,7,2020-04-21,0101000000700F55B8E4981D41288A6801A1A35E41,-63.1422784020,-17.8005396938,91,Distrito Urbano 7
147,MERCADO MOVILES,3,2020-04-21,01010000003084E850AE9A1D41E2D374ABDBA25E41,-63.1412045884,-17.8076751844,91A,Distrito Urbano 3
148,MERCADO MOVILES,3,2020-04-21,0101000000B044B37233971D419346DDBC6CA25E41,-63.1433093490,-17.8116844191,92,Distrito Urbano 3
149,MERCADO MOVILES,9,2020-04-21,0101000000F0A26DBCAB611D41288A683154A05E41,-63.1756560994,-17.8310568575,106,Distrito Urbano 9
150,MERCADO MOVILES,9,2020-04-21,010100000080BB711288421D41265FE1622FA05E41,-63.1944651083,-17.8323697886,117,Distrito Urbano 9
151,MERCADO MOVILES,10,2020-04-21,0101000000F0CDF452D42E1D410B30048EFEA05E41,-63.2063562872,-17.8248674114,118,Distrito Urbano 10
152,MERCADO MOVILES,10,2020-04-21,0101000000F079112D872A1D412CE076165DA15E41,-63.2089501519,-17.8214468128,118,Distrito Urbano 10
153,MERCADO MOVILES,10,2020-04-21,0101000000C0C7733D70231D41CACF1E6DEBA15E41,-63.2132257797,-17.8162959429,ET74,Distrito Urbano 10
154,MERCADO MOVILES,1,2020-04-21,010100000050B3C5F5C80D1D41553C06B181A35E41,-63.2262844250,-17.8015927289,112A,Distrito Urbano 1
155,MERCADO MOVILES,1,2020-04-21,0101000000F0F87BE9A5101D41FF2DD986DCA45E41,-63.2245397795,-17.7890548791,112A,Distrito Urbano 1
156,MERCADO MOVILES,1,2020-04-21,010100000040B19A6E3F121D416AEA4D7A2CA55E41,-63.2235702297,-17.7861653507,55A,Distrito Urbano 1
158,MERCADO MOVILES,1,2020-04-21,0101000000302EDAA3FB491D41886F39FC13AA5E41,-63.1898677697,-17.7408077190,PSU5,Distrito Urbano 1
159,MERCADO MOVILES,5,2020-04-21,0101000000102A8495DF5A1D412AB5EFF771AA5E41,-63.1796680122,-17.7374193234,68,Distrito Urbano 5
160,MERCADO MOVILES,5,2020-04-21,0101000000A0405D6486681D4184192B5F1DAA5E41,-63.1714299035,-17.7404853211,65,Distrito Urbano 5
161,MERCADO MOVILES,5,2020-04-21,0101000000C046DE79B7791D413B0D2924B2A95E41,-63.1610551026,-17.7443710719,66,Distrito Urbano 5
162,MERCADO MOVILES,5,2020-04-21,0101000000F079112DFD871D418FF0CEAF54A95E41,-63.1524419239,-17.7477568380,67,Distrito Urbano 5
163,MERCADO MOVILES,16,2020-04-21,010100000020D6A0EF508C1D41553C06E935A95E41,-63.1498305157,-17.7488715864,71,Distrito Industrial
164,MERCADO MOVILES,7,2020-04-21,0101000000B0192CDCD9A61D418644B2C521A55E41,-63.1338393323,-17.7866343131,140,Distrito Urbano 7
165,MERCADO MOVILES,7,2020-04-21,01010000008090EA7B7AA41D41418EBE8786A35E41,-63.1352831634,-17.8015018740,93,Distrito Urbano 7
166,MERCADO MOVILES,7,2020-04-21,0101000000903E325D6AB11D41493ADB495DA55E41,-63.1274586258,-17.7844867443,84B,Distrito Urbano 7
167,MERCADO MOVILES,7,2020-04-21,0101000000B0989618CBB21D410159601D81A45E41,-63.1266322484,-17.7924477221,86,Distrito Urbano 7
168,MERCADO MOVILES,7,2020-04-21,0101000000E077E6A52FB21D410B30043E03A45E41,-63.1270021374,-17.7969984339,89,Distrito Urbano 7
169,MERCADO MOVILES,7,2020-04-21,010100000060610DD72FB11D41C22302A372A35E41,-63.1276092687,-17.8022262838,94,Distrito Urbano 7
170,MERCADO MOVILES,8,2020-04-21,0101000000806563E558A21D4172966A5C63A25E41,-63.1365781725,-17.8120282543,104,Distrito Urbano 8
171,MERCADO MOVILES,8,2020-04-21,010100000030D8CB7652AF1D41781700F013A25E41,-63.1287444614,-17.8149051396,146,Distrito Urbano 8
172,MERCADO MOVILES,8,2020-04-21,01010000008011803FA9A31D41288A68E167A15E41,-63.1357915820,-17.8211211190,150,Distrito Urbano 8
173,MERCADO MOVILES,9,2020-04-21,010100000070B9460BB87D1D41418EBE4FD5A05E41,-63.1587114309,-17.8264030684,114,Distrito Urbano 9
174,MERCADO MOVILES,8,2020-04-21,0101000000B06F3A89359E1D41470F54B391A05E41,-63.1390903216,-17.8288625033,150,Distrito Urbano 8
175,MERCADO MOVILES,12,2020-04-21,0101000000A64F41DB35721D415759B874F79F5E41,-63.1656696208,-17.8344184952,170,Distrito Urbano 12
176,MERCADO MOVILES,9,2020-04-21,0101000000E9CB6B75D5731D41588D1A1626A15E41,-63.1646790167,-17.8234777089,106,Distrito Urbano 9
177,MERCADO MOVILES,9,2020-04-21,0101000000449D7AEF6F671D41A2C28C1C3E9F5E41,-63.1721829588,-17.8411139947,114,Distrito Urbano 9
178,MERCADO MOVILES,12,2020-04-21,010100000020D6A0EFB27A1D4174C1F1124B9F5E41,-63.1605481522,-17.8406552488,171,Distrito Urbano 12
179,MERCADO MOVILES,9,2020-04-21,010100000000D24AE1BD581D41E72983B0CF9E5E41,-63.1810633238,-17.8450982697,ET41,Distrito Urbano 9
180,MERCADO MOVILES,12,2020-04-21,0101000000B0EEA4C573581D41418EBE9F129E5E41,-63.1812451010,-17.8519337592,176,Distrito Urbano 12
181,MERCADO MOVILES,12,2020-04-21,010100000080BB7112DD4F1D410B3004A64C9D5E41,-63.1864405615,-17.8590866572,129,Distrito Urbano 12
182,MERCADO MOVILES,9,2020-04-21,0101000000408613D8A93B1D41FD025238169E5E41,-63.1986348666,-17.8517868216,130,Distrito Urbano 9
183,MERCADO MOVILES,9,2020-04-21,0101000000505DB7C82F401D41EDAA1884329F5E41,-63.1958913755,-17.8415108853,117,Distrito Urbano 9
184,MERCADO MOVILES,10,2020-04-21,0101000000F0230300E12B1D4118322FC5D59F5E41,-63.2081507230,-17.8355957501,118A,Distrito Urbano 10
185,MERCADO MOVILES,10,2020-04-21,010100000010D475E8C5221D4168BFC6C3FB9E5E41,-63.2136600062,-17.8434717789,135,Distrito Urbano 10
186,MERCADO MOVILES,10,2020-04-21,0101000000403005AB68201D41015960F5B9A05E41,-63.2150686809,-17.8273381143,119,Distrito Urbano 10
187,MERCADO MOVILES,10,2020-04-21,0101000000007C3CB419131D41FD025280A59F5E41,-63.2231190001,-17.8373243876,137,Distrito Urbano 10
188,MERCADO MOVILES,10,2020-04-21,0101000000A0C1F227E1171D416AEA4D3241A15E41,-63.2202141225,-17.8224428544,127,Distrito Urbano 10
189,MERCADO MOVILES,10,2020-04-21,0101000000F0CDF452F4061D415F13AA6146A05E41,-63.2304477236,-17.8314992625,138,Distrito Urbano 10
190,MERCADO MOVILES,10,2020-04-21,010100000080E6F8A8CB0E1D41DA275869CCA15E41,-63.2256940593,-17.8174032850,127,Distrito Urbano 10
191,MERCADO MOVILES,10,2020-04-21,010100000060E2A21A1D011D41D8FCD0B2FFA05E41,-63.2339666518,-17.8247949529,138,Distrito Urbano 10
192,MERCADO MOVILES,10,2020-04-21,0101000000703ADC4E07031D41A91FACFC83A25E41,-63.2327919343,-17.8107577886,ET47,Distrito Urbano 10
193,MERCADO MOVILES,10,2020-04-21,0101000000E0A0423560F91C41DC52DF47F3A15E41,-63.2386282863,-17.8159826074,ET48,Distrito Urbano 10
194,MERCADO MOVILES,5,2020-04-21,010100000000C716FA5C481D41B8F582C8CCAB5E41,-63.1908287226,-17.7248695661,331,Distrito Urbano 5
195,MERCADO MOVILES,5,2020-04-21,0101000000A5A78910D24A1D4181C336E33AAC5E41,-63.1893412127,-17.7208901382,331,Distrito Urbano 5
196,MERCADO MOVILES,5,2020-04-21,01010000007038B1C71C611D41D4A6C28553AB5E41,-63.1758937478,-17.7292677458,ET26,Distrito Urbano 5
197,MERCADO MOVILES,5,2020-04-21,0101000000A015D6CD4F651D41A39E169113AC5E41,-63.1733522012,-17.7223265622,ET26,Distrito Urbano 5
198,MERCADO MOVILES,5,2020-04-21,010100000004D9166B2D591D41E5E6773557AC5E41,-63.1806742275,-17.7198743324,333,Distrito Urbano 5
