Nombre,Latitud,Longitud,Tipo
MERCADO LA FLORIDA,-17.44673,-66.115624,Mercado zonal
MERCADO 10 DE FEBRERO,-17.440041,-66.116183,Mercado zonal
MERCADO 10 DE FEBRERO,-17.361067,-66.182637,Mercado zonal
MERCADO 1RO DE MARZO,-17.394903,-66.154826,Mercado zonal
MERCADO 20 DE FEBRERO,-17.419201,-66.144285,Mercado zonal
MERCADO 20 DE OCTUBRE,-17.490089,-66.177713,Mercado zonal
MERCADO 25 DE MAYO,-17.394938,-66.155352,Mercado central
MERCADO 25 DE MAYO -A,-17.394676,-66.154392,Mercado central
MERCADO 25 DE MAYO B,-17.394703,-66.154863,Mercado central
MERCADO 27 DE MAYO,-17.42523,-66.143201,Mercado zonal
MERCADO 27 DE MAYO,-17.474951,-66.149199,Mercado zonal
MERCADO 8 SEPTIEMBRE - VILLA MEXICO,-17.434506,-66.15674,Mercado central
MERCADO BARTOLINA SISA,-17.4681,-66.206974,Mercado zonal
MERCADO CAMPESINO,-17.431632,-66.125808,Mercado central
MERCADO CAMPESINO,-17.434316,-66.124189,Mercado central
MERCADO CAMPESINO,-17.430476,-66.126161,Mercado central
MERCADO CAMPESINO,-17.433555,-66.124678,Mercado central
MERCADO CAMPESINO DEL NORTE MAYORISTAS DEL PRODUCTOR AL CONSUMIDOR,-17.351226,-66.172623,Mercado central
MERCADO CAMPESINO PRIVADO,-17.429383,-66.126429,Mercado zonal
MERCADO CERRO VERDE,-17.413978,-66.144082,Mercado zonal
MERCADO DE CALA CALA,-17.372261,-66.161775,Mercado zonal
MERCADO DE VALLE HERMOSO,-17.447943,-66.127207,Mercado zonal
MERCADO DEL OESTE BELEN TOKIO,-17.382356,-66.194726,Mercado zonal
MERCADO EL PROGRESO,-17.394689,-66.190325,Mercado zonal
MERCADO FERROVIARIO,-17.448104,-66.146801,Mercado zonal
MERCADO FIDEL ARANIBAR,-17.402795,-66.15396,Mercado zonal
MERCADO INGAVI,-17.390127,-66.171077,Mercado zonal
MERCADO JAIHUAYCO,-17.415019,-66.164129,Mercado zonal
MERCADO JUAN XXIII,-17.388831,-66.203724,Mercado zonal
MERCADO LA PAMPA,-17.403778,-66.152052,Mercado zonal
MERCADO LORETO,-17.423266,-66.157048,Mercado zonal
MERCADO MISICUNI,-17.437367,-66.113235,Mercado zonal
MERCADO MODELO DEL NORTE MINORISTAS,-17.351945,-66.172993,Mercado zonal
MERCADO MOLINO EL GALLO,-17.406813,-66.155093,Mercado central
MERCADO MOLINO SAN LUIS,-17.405716,-66.155077,Mercado central
MERCADO NORTE CALATAYUD,-17.398351,-66.152809,Mercado central
MERCADO OSORIO,-17.397122,-66.162586,Mercado zonal
MERCADO PAPA PAULO,-17.383902,-66.147804,Mercado zonal
MERCADO QUECHISLITAS,-17.375475,-66.185751,Mercado zonal
MERCADO SAN ANTONIO,-17.402758,-66.155039,Mercado central
MERCADO SECCIONAL 15 DE ABRIL VILLA ALALAY,-17.4203,-66.140075,Mercado zonal
MERCADO SUD CALATAYUD,-17.39895,-66.152731,Mercado central
MERCADO ZONAL SEÑOR DE MAYO,-17.364564,-66.176323,Mercado zonal
MERCADONA,-17.413559,-66.165533,Mercado zonal
MOROMERCADO LACTEOS,-17.386795,-66.15759,Mercado zonal
MERCADO 1 DE MAYO,-17.413385,-66.024177,Mercado zonal
MERCADO BARRIENTOS,-17.375997,-66.11821,Mercado zonal
MERCADO CAMPESINO,-17.377808,-66.112576,Mercado zonal
MERCADO ESMERALDA,-17.379197,-66.078412,Mercado zonal
MERCADO QUINTANILLA,-17.387121,-66.110982,Mercado zonal
MERCADO CENTRAL DE SACABA,-17.402336,-66.037375,Mercado central
MERCADO HUAYYANI GRANDE/SAN ANTONIO,-17.392732,-66.058791,Mercado zonal
MERCADO CENTRAL SACABA,-17.404887,-66.038608,Mercado central
MERCADO DE BARRIO,-17.376497,-66.065552,Mercado zonal
MERCADO EL CARMEN DISTRITO 6,-17.41531,-66.079808,Mercado zonal
MERCADO MORRO(GALPON DE PAPA),-17.398675,-66.034591,Mercado zonal
MERCADO VILLA UNION,-17.414834,-66.082962,Mercado zonal
MERCADO CAPACACHI,-17.383518,-66.223757,Mercado zonal
MERCADO CENTRAL DE KAMY,-17.365939,-66.234565,Mercado zonal
MERCADO DE ABASTO FLOTIDA NORTE,-17.38682,-66.225445,Mercado zonal
MERCADO CENTRAL 27 DE MAYO EL PASO,-17.339342,-66.264936,Mercado zonal
MERCADO 9 DE DICIEMBRE,-17.399921,-66.28284,Mercado zonal
MERCADO CENTRAL DE QUILLACOLLO,-17.397415,-66.279912,Mercado central
MERCADO DE PAPAS,-17.401411,-66.285074,Mercado central
MERCADO DE QUILLACOLLO,-17.39575,-66.282603,Mercado central
MERCADO MARTIN CARDENAS,-17.406035,-66.282849,Mercado zonal
MERCADO NELIDA DE GUERRA,-17.390006,-66.285944,Mercado zonal
MERCADO PLAZA DE GRANOS,-17.398767,-66.28404,Mercado central
MERCADO VILLA MARIA,-17.385642,-66.256822,Mercado zonal
MERCADO CENTRAL DE SIPE SIPE/SALE AL LADO B,-17.453654,-66.356641,Mercado central
MERCADO 17 DE OCTUBRE,-17.3463,-66.191154,Mercado zonal
MERCADO 24 DE JUNIO,-17.334368,-66.197998,Mercado zonal
MERCADO CENTRAL DE TIQUIPAYA,-17.337081,-66.218594,Mercado central
MERCADO CHILIMARCA 27 DE MAYO,-17.3364,-66.202946,Mercado zonal
MERCADO DE LA COMUNIDAD,-17.361834,-66.225057,Mercado zonal
FERIA DEL MERCADO CAMPESINO DE VINTO,-17.398895,-66.316346,Mercado zonal
MERCADO CENTRAL CHULLA,-17.377769,-66.30824,Mercado central
MERCADO DE VINTO,-17.39966,-66.316306,Mercado zonal
MERCADO SEXTA,-17.39804,-66.326043,Mercado zonal
MERCADO 12 DE JULIO LOMAS DE SANTA BARBARA,-17.462301,-66.105928,Mercado zonal
ANTIGUO MERCADO CAMPESINO LAGUNA ALALAY,-17.4004,-66.142597,Mercado central
MEGA MERCADO DE FRUTAS,-17.400428,-66.143305,Mercado central
Suticollo A,-17.451657,-66.338758,Mercado zonal
Suticollo B,-17.471811,-66.338513,Mercado zonal
Montenegro,-17.411615,-66.331009,Mercado zonal
Alto Mirador,-17.393896,-66.31987,Mercado zonal
Chulla Jayata,-17.39414,-66.31267,Mercado central
Ironcollo,-17.353241,-66.287256,Merercado zonal
Mercado Colcapirhua,-17.390211,-66.244173,Mercado central
Mercado zonal Capacachi,-17.387045,-66.220598,Mercado zonal
Callajchuypa,-17.354007,-66.242358,Mercado zonal
Feria dominical,-17.338155,-66.221165,Mercado zonal
27 De Noviembre Villa Satelite,-17.33276,-66.195522,Mercado zonal
24 De Junio Max Fernandez,-17.329052,-66.202251,Mercado zonal
Feria dominical Trojes,-17.345452,-66.20387,Mercado zonal
17 De Octubre Ciudad Del Niño,-17.346317,-66.193558,Mercado zonal
Temporal,-17.358879,-66.171872,Mercado zonal
Feria Dominical Guadalupe,-17.3515,-66.182097,Mercado zonal
Taquiña,-17.350163,-66.185433,Mercado zonal
Villa Taquiña,-17.344513,-66.1767,Mercado zonal
Feria dominical,-17.342044,-66.179182,Mercado zonal
Cruce Taquiña,-17.356744,-66.188116,Mercado zonal
Calampampa,-17.357315,-66.184994,Mercado zonal
Los Alamos,-17.370885,-66.185652,Mercado zonal
Sarco,-17.37343,-66.19152,Mercado zonal
Feria Thunupa,-17.379067,-66.188426,Mercado zonal
Coraca,-17.398012,-66.186979,Mercado zonal
Pampa grande,-17.398067,-66.178581,Mercado zonal
Feria Miercoles Villa Loreto,-17.421108,-66.157441,Mercado zonal
Ferial Miercoles Kanata,-17.413707,-66.158799,Mercado zonal
Santa Bárbara,-17.428427,-66.156129,Mercado central
Mercado dominical Humberto Asin,-17.442313,-66.116507,Mercado zonal